# 3GPP.23.038-7BIT.EUR.TXT
# Date: 2025-12-21
# © 2025 Unicode®, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
#	Name:             3GPP 23.038 7-bit alphabet for European languages (Latin script) (0x10) to Unicode
#	Unicode version:  17.0.0
#	Table version:    1.0
#	Table format:     Format A
#	Date:             2025 December 21
#	Authors:          Kent Karlsson
#
#	General notes:
#
#	This mapping is based on 3GPP TS 23.038 V18.0.0 (2022-09), "3rd Generation
#	Partnership Project; Technical Specification Group Core Network and
#	Terminals; Alphabets and language-specific information (Release 18)" [TO UPDATE].
#	Language code (Table 6.2.1.2.4.1) 0x10.
#
#	Some "missing" precomposed letters for some languages, and how to represent them:
#		French:	use COMBINING DIEARESIS for ÿ)
#		Dutch:	use COMBINING ACUTE ACCENT for j́)
#		Polish:	use COMBINING DOT ABOVE for ż)
#		Czech:	use COMBINING CARON for ď, ň, ř, ť)
#		Romanian:	use COMBINING COMMA BELOW for ș, ț)
#		Slovak:	use COMBINING ACUTE ACCENT for ĺ, ŕ, ý; use COMBINING CARON for ď, ľ, ň, ť)
#		Latvian:	use combining dot.abv/ogonek/macron to get ė, į, ų, ū)
#		Lithuanian:	use COMBINING MACRON for ā, ē, ī, ū; use COMBINING COMMA BELOW for ģ, ķ, ļ, ņ)
#		Vietnamese:	use combining grave/hook/tilde/acute/dot.blw for ảạ ằẳẵắặ ầẩẫấậ ẻẽẹ ềểễếệ ỉĩị ỏọ ồổỗốộ ờởỡớợ ủũụ ừửữứự ỳỷỹỵ)
#
#	This 7-bit encoding (and mapping) should only be used in the context
#	of SMS/CBS (including processing of such messages).
#
#	An SS2 character (0x1B) that is not part of a mapped SS2 sequence
#	should be mapped to REPLACEMENT CHARACTER, to indicate the encoding
#	error. See the @missing declarations below. (3GPP 03.038 specifies
#	mapping SS2 alone to SPACE, but that is not generally helpful.)
#
#	0x0D is CR which is used as filler after the actual message text,
#	and in case of 2-letter (always in original default 7-bit encoding)
#	language code prefix (a language tagging method available only for
#	the CBS protocol), also between the language code and actual message.
#	These CR characters are to be inserted (when converting to an
#	SMS/CBS encoding, also the UTF-16BE encoding as used for SMS/CBS)
#	or removed (when converting from an SMS/CBS encoding). A CR 
#	occurring strictly INSIDE of a message (should not happen...)
#	should be converted to LF. This handling of CR is not reflected
#	in the table below, which just maps CR to CR.
#
#	Note that 0x00 is the code for COMMERCIAL AT. It is never used as
#	filler or terminator.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the 3GPP TS 23.038 new 7-bit default alphabet (0x10) code
#                  (in hex as 0xXX or 0x1BXX (SS2) or 0x1B1BXX (SS3))
#		 Column #2 is the (or a sequence of) Unicode scalar value (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#') plus comments
#
#	The entries are in 3GPP TS 23.038 new 7-bit default alphabet (Latin) code order.
#
#	References:
#
#	Alpha - 3GPP TS 23.038 V18.0.0,
#			"Alphabets and language-specific information", 2022-09.
#
#	SMS   - 3GPP TS 23.040 V18.0.0, 
#			"Technical realization of the Short Message Service (SMS)", 2024-03.
#
#	CBS   - 3GPP TS 23.041 V18.6.0, 
#			"Technical realization of Cell Broadcast Service (CBS)", 2024-09.
#
# @missing: 0x00..0x1A	0xFFFD	#	REPLACEMENT CHARACTER (0x1B is SINGLE SHIFT TWO)
# @missing: 0x1B00..0x1B1A	0xFFFD	#	SS2 -> REPLACEMENT CHARACTER (0x1B1B is SINGLE SHIFT THREE)
# @missing: 0x1B1B00..0x1B1B7F	0xFFFD	#	SS3 -> REPLACEMENT CHARACTER
# @missing: 0x1B1C..0x1B7F	0xFFFD	#	SS2 -> REPLACEMENT CHARACTER
# @missing: 0x1C..0x7F	0xFFFD	#	REPLACEMENT CHARACTER
#
0x00	0x0040	#	COMMERCIAL AT
0x01	0x00A3	#	POUND SIGN
0x02	0x0024	#	DOLLAR SIGN
0x03	0x00A5	#	YEN SIGN
0x04	0x00E8	#	LATIN SMALL LETTER E WITH GRAVE
0x05	0x00E9	#	LATIN SMALL LETTER E WITH ACUTE
0x06	0x00F9	#	LATIN SMALL LETTER U WITH GRAVE
0x07	0x00EC	#	LATIN SMALL LETTER I WITH GRAVE
0x08	0x00F2	#	LATIN SMALL LETTER O WITH GRAVE
0x09	0x00E7	#	LATIN SMALL LETTER C WITH CEDILLA (www.unicode.org/Public/MAPPINGS/ETSI/GSM0338.TXT)
0x0A	0x000A	#	LINE FEED (interpret as ASCII CR,LF; so this is actually NEL, but NEL is rarely implemented)
0x0B	0x00D8	#	LATIN CAPITAL LETTER O WITH STROKE
0x0C	0x00F8	#	LATIN SMALL LETTER O WITH STROKE
0x0D	0x000D	#	CARRIAGE RETURN (note that CR is used as filler and those must be deleted before submessage concatenation)
0x0E	0x00C5	#	LATIN CAPITAL LETTER A WITH RING ABOVE
0x0F	0x00E5	#	LATIN SMALL LETTER A WITH RING ABOVE
0x10	0x2212	#	MINUS SIGN
0x11	0x005F	#	LOW LINE
0x12	0x0300	#	COMBINING GRAVE ACCENT
0x13	0x0301	#	COMBINING ACUTE ACCENT
0x14	0x0309	#	COMBINING HOOK ABOVE
0x15	0x0323	#	COMBINING DOT BELOW
0x16	0x0303	#	COMBINING TILDE
0x17	0x0307	#	COMBINING DOT ABOVE
0x18	0x0304	#	COMBINING MACRON
0x19	0x0302	#	COMBINING CIRCUMFLEX ACCENT
0x1A	0x030C	#	COMBINING CARON
#0x1B	SINGLE SHIFT TWO (no mapping by itself, see also @missing above)
0x1B00	0x0150	#	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0x1B01	0x0151	#	LATIN SMALL LETTER O WITH DOUBLE ACUTE
0x1B02	0x0170	#	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0x1B03	0x0171	#	LATIN SMALL LETTER U WITH DOUBLE ACUTE
0x1B04	0x00C8	#	LATIN CAPITAL LETTER E WITH GRAVE
0x1B05	0x0069 0x0307	#	LATIN SMALL LETTER I, COMBINING DOT ABOVE; 'hard-dotted' small i, rec. for dotted small i in tr/az/lt
0x1B06	0x00D9	#	LATIN CAPITAL LETTER U WITH GRAVE
0x1B07	0x00CC	#	LATIN CAPITAL LETTER I WITH GRAVE
0x1B08	0x00D2	#	LATIN CAPITAL LETTER O WITH GRAVE
0x1B09	0x00C7	#	LATIN CAPITAL LETTER C WITH CEDILLA
0x1B0A	0x000C	#	FORM FEED (interpret as ASCII CR,FF if there is pagination; CR,LF if no pagination)
0x1B0B	0x00D4	#	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0x1B0C	0x00F4	#	LATIN SMALL LETTER O WITH CIRCUMFLEX
0x1B0D	0x009B	#	CONTROL SEQUENCE INTRODUCER (enable CSInnn_ decimal character references and selected CSIxxxm styling)
0x1B0E	0x00C1	#	LATIN CAPITAL LETTER A WITH ACUTE
0x1B0F	0x00E1	#	LATIN SMALL LETTER A WITH ACUTE
0x1B10	0x00AA	#	FEMININE ORDINAL INDICATOR	(also CSI56:1maCSI56m)
0x1B11	0x00BA	#	MASCULINE ORDINAL INDICATOR	(also CSI56:1moCSI56m)
0x1B12	0x011F	#	LATIN SMALL LETTER G WITH BREVE
0x1B13	0x015F	#	LATIN SMALL LETTER S WITH CEDILLA
0x1B14	0x005E	#	CIRCUMFLEX ACCENT (spacing, not combining)
0x1B15	0x010C	#	LATIN CAPITAL LETTER C WITH CARON
0x1B16	0x010D	#	LATIN SMALL LETTER C WITH CARON
0x1B17	0x0160	#	LATIN CAPITAL LETTER S WITH CARON
