# 3GPP.23.038-7BIT.HE.TXT
# Date: 2025-12-21
# © 2025 Unicode®, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
#	Name:             3GPP 23.038 7-bit for Hebrew alphabet (0x12) to Unicode
#	Unicode version:  17.0.0
#	Table version:    1.0
#	Table format:     Format A
#	Date:             2025 December 21
#	Authors:          Kent Karlsson
#
#	General notes:
#
#	This mapping is based on 3GPP TS 23.038 V18.0.0 (2022-09), "3rd Generation
#	Partnership Project; Technical Specification Group Core Network and
#	Terminals; Alphabets and language-specific information (Release 18)".
#	Language code (Table 6.2.1.2.4.1) 0x12.
#
#	This 7-bit encoding (and mapping) should only be used in the context
#	of SMS/CBS (including processing of such messages).
#
#	An SS2 character (0x1B) that is not part of a mapped SS2 sequence
#	should be mapped to REPLACEMENT CHARACTER, to indicate the encoding
#	error. See the @missing declarations below. (3GPP 03.038 specifies
#	mapping SS2 alone to SPACE, but that is not generally helpful.)
#
#	0x0D is CR which is used as filler after the actual message text,
#	and in case of 2-letter (always in original default 7-bit encoding)
#	language code prefix (a language tagging method available only for
#	the CBS protocol), also between the language code and actual message.
#	These CR characters are to be inserted (when converting to an
#	SMS/CBS encoding, also the UTF-16BE encoding as used for SMS/CBS)
#	or removed (when converting from an SMS/CBS encoding). A CR 
#	occurring strictly INSIDE of a message (should not happen...)
#	should be converted to LF. This handling of CR is not reflected
#	in the table below, which just maps CR to CR.
#
#	Note that 0x00 is the code for COMMERCIAL AT. It is never used as
#	filler or terminator.
#
#	The characters here are mostly Hebrew letters (+ "Latin" letters
#	and digits), thus for displaying messages in this encoding one
#	must apply the bidi algorithm. The "paragraph level" parameter is
#	always "LTR" for SMS/CBS messages. The bidi algoritnm is applied
#	*after* submessage concatenation. LRM and RLM can be used to "fix"
#	bidi ordering issues for 'bidi neutral' symbols, like quote marks,
#	comma, full stop, ... in case of 'order change' around the symbol.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the 3GPP TS 23.038 7-bit Hebrew alphabet (0x12) code
#                  (in hex as 0xXX or 0x1BXX (SS2))
#		 Column #2 is the (or a sequence of) Unicode scalar value (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#') plus comments
#
#	The entries are in 3GPP TS 23.038 7-bit Hebrew alphabet code order.
#
#	References:
#
#	Alpha - 3GPP TS 23.038 V18.0.0,
#			"Alphabets and language-specific information", 2022-09.
#
#	SMS   - 3GPP TS 23.040 V18.0.0, 
#			"Technical realization of the Short Message Service (SMS)", 2024-03.
#
#	CBS   - 3GPP TS 23.041 V18.6.0, 
#			"Technical realization of Cell Broadcast Service (CBS)", 2024-09.
#
# @missing: 0x00..0x1A	0xFFFD	#	REPLACEMENT CHARACTER (0x1B is SINGLE SHIFT TWO)
# @missing: 0x1B00..0x1B1A	0xFFFD	#	SS2 -> REPLACEMENT CHARACTER (0x1B1B is SINGLE SHIFT THREE)
# @missing: 0x1B1B00..0x1B1B7F	0xFFFD	#	SS3 -> REPLACEMENT CHARACTER
# @missing: 0x1B1C..0x1B7F	0xFFFD	#	SS2 -> REPLACEMENT CHARACTER
# @missing: 0x1C..0x7F	0xFFFD	#	REPLACEMENT CHARACTER
#
0x00	0x0040	#	COMMERCIAL AT
0x01	0x00A3	#	POUND SIGN
0x02	0x0024	#	DOLLAR SIGN
0x03	0x00A5	#	YEN SIGN
0x04	0x00A7	#	SECTION SIGN
0x05	0x20AA	#	NEW SHEQEL SIGN
0x06	0x05BD	#	HEBREW POINT METEG
0x07	0x05B0	#	HEBREW POINT SHEVA (e or schwa)
0x08	0x05B5	#	HEBREW POINT TSERE (ay)
0x09	0x05BB	#	HEBREW POINT QUBUTS (uu)
0x0A	0x000A	#	LINE FEED (interpret as ASCII CR,LF; so this is actually NEL, but NEL is rarely implemented)
0x0B	0x05B6	#	HEBREW POINT SEGOL (eh)
0x0C	0x05B1	#	HEBREW POINT HATAF SEGOL
0x0D	0x000D	#	CARRIAGE RETURN (note that CR is used as filler and those must be deleted before submessage concatenation)
0x0E	0x05B2	#	HEBREW POINT HATAF PATAH
0x0F	0x05B3	#	HEBREW POINT HATAF QAMATS
0x10	0x2212	#	MINUS SIGN
0x11	0x005F	#	LOW LINE
0x12	0x05B4	#	HEBREW POINT HIRIQ (ee)
0x13	0x05B9	#	HEBREW POINT HOLAM (o)
0x14	0x05BA	#	HEBREW POINT HOLAM HASER FOR VAV
0x15	0x05BC	#	HEBREW POINT DAGESH OR MAPIQ
0x16	0x05C1	#	HEBREW POINT SHIN DOT
0x17	0x05C2	#	HEBREW POINT SIN DOT
0x18	0x05B7	#	HEBREW POINT PATAH (ah)
0x19	0x05BF	#	HEBREW POINT RAFE ('softener', e.g. 'b' -> 'v', ...)
0x1A	0xFB1E	#	HEBREW POINT JUDEO-SPANISH VARIKA ('softener', e.g. 'b' -> 'v', ...)
#0x1B	SINGLE SHIFT TWO (no mapping by itself, see also @missing above)
0x1B00	0xFB21	#	HEBREW LETTER WIDE ALEF
0x1B01	0xFB22	#	HEBREW LETTER WIDE DALET
0x1B02	0xFB23	#	HEBREW LETTER WIDE HE
0x1B03	0xFB24	#	HEBREW LETTER WIDE KAF
0x1B04	0xFB25	#	HEBREW LETTER WIDE LAMED
0x1B05	0xFB26	#	HEBREW LETTER WIDE FINAL MEM
0x1B06	0xFB27	#	HEBREW LETTER WIDE RESH
0x1B07	0xFB28	#	HEBREW LETTER WIDE TAV
0x1B08	0xFB4F	#	HEBREW LIGATURE ALEF LAMED

0x1B0A	0x000C	#	FORM FEED (interpret as ASCII CR,FF if there is pagination; CR,LF if no pagination)
0x1B0D	0x009B	#	CONTROL SEQUENCE INTRODUCER (enable CSInnn_ decimal character references and selected CSIxxxm styling)
0x1B0E	0x05EF	#	HEBREW YOD TRIANGLE
0x1B10	0xFB2A	#	HEBREW LETTER SHIN WITH SHIN DOT
0x1B11	0xFB2B	#	HEBREW LETTER SHIN WITH SIN DOT
0x1B12	0xFB2C	#	HEBREW LETTER SHIN WITH DAGESH AND SHIN DOT
0x1B13	0xFB2D	#	HEBREW LETTER SHIN WITH DAGESH AND SIN DOT
0x1B14	0x005E	#	CIRCUMFLEX ACCENT
0x1B15	0xFB2E	#	HEBREW LETTER ALEF WITH PATAH
0x1B16	0xFB2F	#	HEBREW LETTER ALEF WITH QAMATS
0x1B17	0xFB30	#	HEBREW LETTER ALEF WITH MAPIQ
