# 3GPP.23.038-7BIT.KM.TXT
# Date: 2025-12-21
# © 2025 Unicode®, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
#	Name:             3GPP 23.038 7-bit for Khmer alphabet (0x1F) to Unicode
#	Unicode version:  17.0.0
#	Table version:    1.0
#	Table format:     Format A
#	Date:             2025 December 21
#	Authors:          Kent Karlsson
#
#	General notes:
#
#	This mapping is based on 3GPP TS 23.038 V18.0.0 (2022-09), "3rd Generation
#	Partnership Project; Technical Specification Group Core Network and
#	Terminals; Alphabets and language-specific information (Release 18)".
#	Language code (Table 6.2.1.2.4.1) 0x1F.
#
#	This 7-bit encoding (and mapping) should only be used in the context of
#	SMS/CBS (including processing of such messages).
#
#	An SS2 character (0x1B) that is not part of a mapped SS2 sequence
#	should be mapped to REPLACEMENT CHARACTER, to indicate the encoding
#	error. See the @missing declarations below. (3GPP 03.038 specifies
#	mapping SS2 alone to SPACE, but that is not generally helpful.)
#
#	0x0D is CR which is used as filler after the actual message text,
#	and in case of 2-letter (always in original default 7-bit encoding)
#	language code prefix (a language tagging method available only for
#	the CBS protocol), also between the language code and actual message.
#	These CR characters are to be inserted (when converting to an
#	SMS/CBS encoding, also the UTF-16BE encoding as used for SMS/CBS)
#	or removed (when converting from an SMS/CBS encoding). A CR 
#	occurring strictly INSIDE of a message (should not happen...)
#	should be converted to LF. This handling of CR is not reflected
#	in the table below, which just maps CR to CR.
#
#	Note that 0x00 is the code for KHMER SIGN YUUKALEAPINTU. It is never used as
#	filler or terminator.
#
#	As for all Indic scripts, script specific "shaping"
#	need to be done for proper display.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the 3GPP TS 23.038 7-bit Khmer alphabet code
#                  (in hex as 0xXX or 0x1BXX (SS2))
#		 Column #2 is the (or a sequence of) Unicode scalar value (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#') plus comments
#
#	The entries are in 3GPP TS 23.038 7-bit Khmer alphabet (0x1F) code order.
#
#	References:
#
#	Alpha - 3GPP TS 23.038 V18.0.0,
#			"Alphabets and language-specific information", 2022-09.
#
#	SMS   - 3GPP TS 23.040 V18.0.0, 
#			"Technical realization of the Short Message Service (SMS)", 2024-03.
#
#	CBS   - 3GPP TS 23.041 V18.6.0, 
#			"Technical realization of Cell Broadcast Service (CBS)", 2024-09.
#
# @missing: 0x00..0x1A	0xFFFD	#	REPLACEMENT CHARACTER (0x1B is SINGLE SHIFT TWO)
# @missing: 0x1B00..0x1B1A	0xFFFD	#	SS2 -> REPLACEMENT CHARACTER (0x1B1B is SINGLE SHIFT THREE)
# @missing: 0x1B1B00..0x1B1B7F	0xFFFD	#	SS3 -> REPLACEMENT CHARACTER
# @missing: 0x1B1C..0x1B7F	0xFFFD	#	SS2 -> REPLACEMENT CHARACTER
# @missing: 0x1C..0x7F	0xFFFD	#	REPLACEMENT CHARACTER
#
0x00	0x17C8	#	KHMER SIGN YUUKALEAPINTU (VOWEL SIGN) (yukaleakpintu) * inserts a short inherent vowel with abrupt glottal stop
0x01	0x17C6	#	KHMER SIGN NIKAHIT (VOWEL SIGN) * final nasalization (anusvara) * this character is usually regarded as a vowel sign am, along with om and aam
0x02	0x17C7	#	KHMER SIGN REAHMUK visarga (VOWEL SIGN)
0x03	0x17A2	#	KHMER LETTER QA * (glottal stop, na), actually more like the "a" independent vowel; U+17A3 should be a canonical equivalent, but instead is "strongly discouraged"
0x04	0x17A4	#	KHMER INDEPENDENT VOWEL QAA   prefer to use <17A2,17B6>, which should have been a canonical decomposition
0x05	0x17A5	#	KHMER INDEPENDENT VOWEL QI (i)
0x06	0x17A6	#	KHMER INDEPENDENT VOWEL QII (ii) (aa) (ey)
0x07	0x17A7	#	KHMER INDEPENDENT VOWEL QU (u)
0x08	0x17A9	#	KHMER INDEPENDENT VOWEL QUU (uu)
0x09	0x17AB	#	KHMER INDEPENDENT VOWEL RY (vocalic r)
0x0A	0x000A	#	LINE FEED (interpret as ASCII CR,LF; so this is actually NEL, but NEL is rarely implemented)
0x0B	0x17AD	#	KHMER INDEPENDENT VOWEL LY (vocalic l)
0x0D	0x000D	#	CARRIAGE RETURN (note that CR is used as filler and those must be deleted before submessage concatenation)
0x0E	0x17AF	#	KHMER INDEPENDENT VOWEL QE (e)
0x10	0x17B0	#	KHMER INDEPENDENT VOWEL QAI (ai)
0x11	0x005F	#	LOW LINE
0x13	0x17B1	#	KHMER INDEPENDENT VOWEL QOO TYPE ONE (oo)
0x14	0x17B3	#	KHMER INDEPENDENT VOWEL QAU (au)
0x15	0x1780	#	KHMER LETTER KA
0x16	0x1781	#	KHMER LETTER KHA
0x17	0x1782	#	KHMER LETTER KO
0x18	0x1783	#	KHMER LETTER KHO
0x19	0x1784	#	KHMER LETTER NGO
0x1A	0x1785	#	KHMER LETTER CA
#0x1B	SINGLE SHIFT TWO (no mapping by itself, see also @missing above)
0x1B00	0x0040	#	COMMERCIAL AT
0x1B01	0x00A3	#	POUND SIGN
0x1B02	0x0024	#	DOLLAR SIGN
0x1B03	0x00A5	#	YEN SIGN
0x1B04	0x00A7	#	SECTION SIGN
0x1B05	0x0022	#	QUOTATION MARK
0x1B06	0x20AC	#	EURO SIGN
0x1B07	0x0025	#	PERCENT SIGN
0x1B08	0x0026	#	AMPERSAND
0x1B09	0x0027	#	APOSTROPHE
0x1B0A	0x000C	#	FORM FEED (interpret as ASCII CR,FF if there is pagination; CR,LF if no pagination)
0x1B0B	0x2212	#	MINUS SIGN
0x1B0C	0x0021	#	EXCLAMATION MARK
0x1B0D	0x009B	#	CONTROL SEQUENCE INTRODUCER (enable CSInnn_ decimal character references and selected CSIxxxm styling)
0x1B0E	0x002D	#	HYPHEN-MINUS
0x1B10	0x003C	#	LESS-THAN SIGN
