# 3GPP.23.038-7BIT.UK.TXT
# Date: 2025-12-21
# © 2025 Unicode®, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
#	Name:             3GPP 23.038 7-bit for Ukranian alphabet (0x24) to Unicode
#	Unicode version:  17.0.0
#	Table version:    1.0
#	Table format:     Format A
#	Date:             2025 December 21
#	Authors:          Kent Karlsson
#
#	General notes:
#
#	This mapping is based on 3GPP TS 23.038 V18.0.0 (2022-09), "3rd Generation
#	Partnership Project; Technical Specification Group Core Network and
#	Terminals; Alphabets and language-specific information (Release 18)".
#	Language code (Table 6.2.1.2.4.1) 0x11.
#
#	This 7-bit encoding (and mapping) should only be used in the context
#	of SMS/CBS (including processing of such messages).
#
#	An SS2 character (0x1B) that is not part of a mapped SS2 sequence
#	should be mapped to REPLACEMENT CHARACTER, to indicate the encoding
#	error. See the @missing declarations below. (3GPP 03.038 specifies
#	mapping SS2 alone to SPACE, but that is not generally helpful.)
#
#	0x0D is CR which is used as filler after the actual message text,
#	and in case of 2-letter (always in original default 7-bit encoding)
#	language code prefix (a language tagging method available only for
#	the CBS protocol), also between the language code and actual message.
#	These CR characters are to be inserted (when converting to an
#	SMS/CBS encoding, also the UTF-16BE encoding as used for SMS/CBS)
#	or removed (when converting from an SMS/CBS encoding). A CR 
#	occurring strictly INSIDE of a message (should not happen...)
#	should be converted to LF. This handling of CR is not reflected
#	in the table below, which just maps CR to CR.
#
#	Note that 0x00 is the code for COMMERCIAL AT. It is never used as
#	filler or terminator.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the 3GPP TS 23.038 7-bit Ukranian alphabet (0x24) code
#                  (in hex as 0xXX or 0x1BXX (SS2))
#		 Column #2 is the (or a sequence of) Unicode scalar value (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#') plus comments
#
#	The entries are in 3GPP TS 23.038 7-bit Greek alphabet code order.
#	Words written in polytonic Greek (pre-1980 orthogprapy) is supported
#	through combining characters. However, if there are many words written
#	in the polytonic orthography, then it may well be better to use UTF16-BE
#	(UCS2BE) and NFC form.
#
#	References:
#
#	Alpha - 3GPP TS 23.038 V18.0.0,
#			"Alphabets and language-specific information", 2022-09.
#
#	SMS   - 3GPP TS 23.040 V18.0.0, 
#			"Technical realization of the Short Message Service (SMS)", 2024-03.
#
#	CBS   - 3GPP TS 23.041 V18.6.0, 
#			"Technical realization of Cell Broadcast Service (CBS)", 2024-09.
#
# @missing: 0x00..0x1A	0xFFFD	#	REPLACEMENT CHARACTER (0x1B is SINGLE SHIFT TWO)
# @missing: 0x1B00..0x1B1A	0xFFFD	#	SS2 -> REPLACEMENT CHARACTER (0x1B is SINGLE SHIFT THREE)
# @missing: 0x1B00..0x1B7F	0xFFFD	#	SS3 -> REPLACEMENT CHARACTER
# @missing: 0x1B1C..0x1B7F	0xFFFD	#	SS2 -> REPLACEMENT CHARACTER
# @missing: 0x1C..0x7F	0xFFFD	#	REPLACEMENT CHARACTER
#
0x00	0x0040	#	COMMERCIAL AT
0x01	0x00A3	#	POUND SIGN
0x02	0x0024	#	DOLLAR SIGN
0x03	0x00A5	#	YEN SIGN
0x04	0x00A7	#	SECTION SIGN
0x05	0x0455	#	CYRILLIC SMALL LETTER DZE;Ll;0;L;;;;;N;;;0405;;0405
0x06	0x0473	#	CYRILLIC SMALL LETTER FITA;Ll;0;L;;;;;N;;;0472;;0472
0x07	0x046F	#	CYRILLIC SMALL LETTER KSI;Ll;0;L;;;;;N;;;046E;;046E
0x08	0x0481	#	CYRILLIC SMALL LETTER KOPPA;Ll;0;L;;;;;N;;;0480;;0480
0x09	0x0471	#	CYRILLIC SMALL LETTER PSI;Ll;0;L;;;;;N;;;0470;;0470
0x0A	0x000A	#	LINE FEED (interpret as ASCII CR,LF; so this is actually NEL, but NEL is rarely implemented)
0x0B	0x0461	#	CYRILLIC SMALL LETTER OMEGA;Ll;0;L;;;;;N;;;0460;;0460
0x0C	0x0467	#	CYRILLIC SMALL LETTER LITTLE YUS;Ll;0;L;;;;;N;;;0466;;0466
0x0D	0x000D	#	CARRIAGE RETURN (note that CR is used as filler and those must be deleted before submessage concatenation)

0x0E	0x058F	#	ARMENIAN DRAM SIGN
0x0F	0x20BE	#	LARI SIGN

0x10	0x2212	#	MINUS SIGN
0x11	0x005F	#	LOW LINE
0x12	0x20B4	#	HRYVNIA SIGN

0x1A	0x044A	#	CYRILLIC SMALL LETTER HARD SIGN
#0x1B	SINGLE SHIFT TWO (no mapping by itself, see also @missing above)

0x1B05	0x0405	#	CYRILLIC CAPITAL LETTER DZE
0x1B06	0x0472	#	CYRILLIC CAPITAL LETTER FITA
0x1B07	0x046E	#	CYRILLIC CAPITAL LETTER KSI
0x1B08	0x0480	#	CYRILLIC CAPITAL LETTER KOPPA
0x1B09	0x0470	#	CYRILLIC CAPITAL LETTER PSI
0x1B0A	0x000C	#	FORM FEED (interpret as ASCII CR,FF if there is pagination; CR,LF if no pagination)
0x1B0B	0x0460	#	CYRILLIC CAPITAL LETTER OMEGA
0x1B0C	0x0466	#	CYRILLIC CAPITAL LETTER LITTLE YUS
0x1B0D	0x009B	#	CONTROL SEQUENCE INTRODUCER (enable CSInnn_ decimal character references and selected CSIxxxm styling)
0x1B0E	0x0483	#	COMBINING CYRILLIC TITLO (combining above, indicates numeric, 1-900, use of a letter)
0x1B0F	0x0482	#	CYRILLIC THOUSANDS SIGN (prefix, indicates numeric use of a letter with factor 1000; may be repeated (so two of them is a 
0x1B10	0x007C	#	VERTICAL LINE
0x1B11	0x0041	#	LATIN CAPITAL LETTER A
0x1B12	0x0042	#	LATIN CAPITAL LETTER B
0x1B13	0x0043	#	LATIN CAPITAL LETTER C
0x1B14	0x005E	#	CIRCUMFLEX ACCENT (spacing, not combining)
0x1B15	0x0044	#	LATIN CAPITAL LETTER D
0x1B16	0x0045	#	LATIN CAPITAL LETTER E
0x1B17	0x0046	#	LATIN CAPITAL LETTER F
